nombre,direccion,numero_telefonico,razon_social_id
La Picadita Jarocha Sucursal Centro,Av. Hidalgo No. 600 Esq. Allende Col. Centro,9212121386,1
La Picadita Jarocha Sucursal Soriana Palmar,Av. Las palmas No. 101 Int. Loc. 17 Col. Paraíso, ,2
La Picadita Jarocha Sucursal Malecon,Manilo Fabio Altamirano No. 2407 Col. Petroquimica,9212137072,3
La Picadita Jarocha Sucursal Soriana Mercado,Blvd. Juan Osorio Lopez No. 100 Int. Loc. 2 3 y 4 Col. Héroes de Nacozari, ,4
La Picadita Jarocha Sucursal Gaviotas,Av Jirafas No. 137 Esq Ceiba Col. Gaviotas,9216882551,5
La Picadita Jarocha Sucursal Soriana Hiper,Plaza Soriana Col. Cuauhtemoc,9222239947,6
La Picadita Jarocha Sucursal Centro,Jose Arenas  No. 14 Col. Centro,9222237340,7
La Picadita Jarocha Sucursal Instituto Tecnologico,Instituto Tecnologico Col. Insurgentes Norte,9222417821,8
